Hour,Day,Rain
10,29/03/2018,True
11,29/03/2018,True
12,29/03/2018,True
13,29/03/2018,True
14,29/03/2018,True
15,29/03/2018,True
16,29/03/2018,True
17,29/03/2018,True
18,29/03/2018,True
19,29/03/2018,True
20,29/03/2018,True
21,29/03/2018,True
22,29/03/2018,True
23,29/03/2018,True
0,30/03/2018,True
1,30/03/2018,True
2,30/03/2018,False
3,30/03/2018,True
4,30/03/2018,False
5,30/03/2018,False
6,30/03/2018,False
7,30/03/2018,False
8,30/03/2018,False
9,30/03/2018,False
10,30/03/2018,False
11,30/03/2018,True
12,30/03/2018,True
13,30/03/2018,True
14,30/03/2018,True
15,30/03/2018,True
16,30/03/2018,False
17,30/03/2018,False
18,30/03/2018,False
19,30/03/2018,False
20,30/03/2018,False
21,30/03/2018,False
22,30/03/2018,False
23,30/03/2018,False
0,31/03/2018,False
1,31/03/2018,False
2,31/03/2018,False
3,31/03/2018,False
4,31/03/2018,False
5,31/03/2018,False
6,31/03/2018,False
7,31/03/2018,False
8,31/03/2018,False
9,31/03/2018,False
10,31/03/2018,False
11,31/03/2018,False
12,31/03/2018,False
13,31/03/2018,False
14,31/03/2018,False
15,31/03/2018,False
16,31/03/2018,False
17,31/03/2018,False
18,31/03/2018,False
19,31/03/2018,False
20,31/03/2018,False
21,31/03/2018,False
22,31/03/2018,False
23,31/03/2018,False
0,01/04/2018,False
1,01/04/2018,False
2,01/04/2018,False
3,01/04/2018,False
4,01/04/2018,True
5,01/04/2018,False
6,01/04/2018,False
7,01/04/2018,False
8,01/04/2018,False
9,01/04/2018,False
10,01/04/2018,False
11,01/04/2018,False
12,01/04/2018,False
13,01/04/2018,False
14,01/04/2018,True
15,01/04/2018,True
16,01/04/2018,False
17,01/04/2018,False
18,01/04/2018,False
19,01/04/2018,True
20,01/04/2018,True
21,01/04/2018,True
22,01/04/2018,True
23,01/04/2018,True
0,02/04/2018,True
1,02/04/2018,True
2,02/04/2018,True
3,02/04/2018,True
4,02/04/2018,True
5,02/04/2018,True
6,02/04/2018,True
7,02/04/2018,True
8,02/04/2018,True
9,02/04/2018,True
10,02/04/2018,True
11,02/04/2018,True
12,02/04/2018,True
13,02/04/2018,True
14,02/04/2018,True
15,02/04/2018,True
16,02/04/2018,True
17,02/04/2018,False
18,02/04/2018,True
19,02/04/2018,True
20,02/04/2018,True
21,02/04/2018,True
22,02/04/2018,True
23,02/04/2018,True
0,03/04/2018,False
1,03/04/2018,False
2,03/04/2018,False
3,03/04/2018,False
4,03/04/2018,False
5,03/04/2018,False
6,03/04/2018,False
7,03/04/2018,True
8,03/04/2018,False
9,03/04/2018,False
10,03/04/2018,True
11,03/04/2018,False
12,03/04/2018,False
13,03/04/2018,True
14,03/04/2018,True
15,03/04/2018,True
16,03/04/2018,True
17,03/04/2018,True
18,03/04/2018,True
19,03/04/2018,True
20,03/04/2018,False
21,03/04/2018,False
22,03/04/2018,False
23,03/04/2018,False
0,04/04/2018,False
1,04/04/2018,False
2,04/04/2018,True
3,04/04/2018,True
4,04/04/2018,True
5,04/04/2018,True
6,04/04/2018,True
7,04/04/2018,True
8,04/04/2018,True
9,04/04/2018,True
10,04/04/2018,True
11,04/04/2018,True
12,04/04/2018,True
13,04/04/2018,True
14,04/04/2018,False
15,04/04/2018,False
16,04/04/2018,True
17,04/04/2018,True
18,04/04/2018,True
19,04/04/2018,False
20,04/04/2018,True
21,04/04/2018,True
22,04/04/2018,False
23,04/04/2018,False
0,05/04/2018,False
1,05/04/2018,False
2,05/04/2018,False
3,05/04/2018,False
4,05/04/2018,False
5,05/04/2018,False
6,05/04/2018,False
7,05/04/2018,False
8,05/04/2018,False
9,05/04/2018,False
10,05/04/2018,False
11,05/04/2018,False
12,05/04/2018,False
13,05/04/2018,False
14,05/04/2018,False
15,05/04/2018,False
16,05/04/2018,False
17,05/04/2018,False
18,05/04/2018,False
19,05/04/2018,False
20,05/04/2018,False
21,05/04/2018,False
22,05/04/2018,False
23,05/04/2018,True
