name,day,hour,bike_stands_mean,available_bikes_mean,available_bike_stands_mean
BARROW STREET,Friday,0,40.0,14.0,26.0
BARROW STREET,Friday,1,40.0,14.0,26.0
BARROW STREET,Friday,2,40.0,14.0,26.0
BARROW STREET,Friday,3,40.0,14.0,26.0
BARROW STREET,Friday,4,40.0,15.0,25.0
BARROW STREET,Friday,5,40.0,11.0,29.0
BARROW STREET,Friday,6,40.0,16.0,24.0
BARROW STREET,Friday,7,40.0,22.0,17.0
BARROW STREET,Friday,8,40.0,22.0,18.0
BARROW STREET,Friday,9,40.0,22.0,17.0
BARROW STREET,Friday,10,40.0,20.0,19.0
BARROW STREET,Friday,11,40.0,20.0,19.0
BARROW STREET,Friday,12,40.0,22.0,17.0
BARROW STREET,Friday,13,40.0,18.0,21.0
BARROW STREET,Friday,14,40.0,18.0,22.0
BARROW STREET,Friday,15,40.0,18.0,22.0
BARROW STREET,Friday,16,40.0,8.0,32.0
BARROW STREET,Friday,17,40.0,3.0,37.0
BARROW STREET,Friday,18,40.0,5.0,35.0
BARROW STREET,Friday,19,40.0,9.0,31.0
BARROW STREET,Friday,20,40.0,12.0,28.0
BARROW STREET,Friday,21,40.0,13.0,27.0
BARROW STREET,Friday,22,40.0,15.0,25.0
BARROW STREET,Friday,23,40.0,17.0,23.0
BARROW STREET,Monday,0,40.0,19.0,21.0
BARROW STREET,Monday,1,40.0,19.0,21.0
BARROW STREET,Monday,2,40.0,19.0,21.0
BARROW STREET,Monday,3,40.0,19.0,21.0
BARROW STREET,Monday,4,40.0,19.0,21.0
BARROW STREET,Monday,5,40.0,22.0,18.0
BARROW STREET,Monday,6,40.0,19.0,21.0
BARROW STREET,Monday,7,40.0,26.0,14.0
BARROW STREET,Monday,8,40.0,30.0,10.0
BARROW STREET,Monday,9,40.0,30.0,10.0
BARROW STREET,Monday,10,40.0,28.0,12.0
BARROW STREET,Monday,11,40.0,28.0,12.0
BARROW STREET,Monday,12,40.0,26.0,14.0
BARROW STREET,Monday,13,40.0,28.0,12.0
BARROW STREET,Monday,14,40.0,28.0,12.0
BARROW STREET,Monday,15,40.0,27.0,13.0
BARROW STREET,Monday,16,40.0,26.0,14.0
BARROW STREET,Monday,17,40.0,25.0,15.0
BARROW STREET,Monday,18,40.0,23.0,17.0
BARROW STREET,Monday,19,40.0,24.0,16.0
BARROW STREET,Monday,20,40.0,23.0,17.0
BARROW STREET,Monday,21,40.0,23.0,17.0
BARROW STREET,Monday,22,40.0,21.0,19.0
BARROW STREET,Monday,23,40.0,22.0,18.0
BARROW STREET,Saturday,0,40.0,17.0,23.0
BARROW STREET,Saturday,1,40.0,17.0,23.0
BARROW STREET,Saturday,2,40.0,17.0,23.0
BARROW STREET,Saturday,3,40.0,17.0,23.0
BARROW STREET,Saturday,4,40.0,17.0,23.0
BARROW STREET,Saturday,5,40.0,19.0,21.0
BARROW STREET,Saturday,6,40.0,18.0,22.0
BARROW STREET,Saturday,7,40.0,16.0,24.0
BARROW STREET,Saturday,8,40.0,13.0,27.0
BARROW STREET,Saturday,9,40.0,7.0,33.0
BARROW STREET,Saturday,10,40.0,5.0,35.0
BARROW STREET,Saturday,11,40.0,4.0,36.0
BARROW STREET,Saturday,12,40.0,2.0,38.0
BARROW STREET,Saturday,13,40.0,2.0,38.0
BARROW STREET,Saturday,14,40.0,3.0,37.0
BARROW STREET,Saturday,15,40.0,6.0,34.0
BARROW STREET,Saturday,16,40.0,14.0,26.0
BARROW STREET,Saturday,17,40.0,16.0,24.0
BARROW STREET,Saturday,18,40.0,17.0,23.0
BARROW STREET,Saturday,19,40.0,18.0,22.0
BARROW STREET,Saturday,20,40.0,20.0,20.0
BARROW STREET,Saturday,21,40.0,16.0,24.0
BARROW STREET,Saturday,22,40.0,21.0,19.0
BARROW STREET,Saturday,23,40.0,22.0,18.0
BARROW STREET,Sunday,0,40.0,22.0,18.0
BARROW STREET,Sunday,1,40.0,22.0,18.0
BARROW STREET,Sunday,2,40.0,21.0,19.0
BARROW STREET,Sunday,3,40.0,22.0,18.0
BARROW STREET,Sunday,4,40.0,23.0,17.0
BARROW STREET,Sunday,5,40.0,20.0,20.0
BARROW STREET,Sunday,6,40.0,23.0,17.0
BARROW STREET,Sunday,7,40.0,21.0,19.0
BARROW STREET,Sunday,8,40.0,20.0,20.0
BARROW STREET,Sunday,9,40.0,20.0,20.0
BARROW STREET,Sunday,10,40.0,20.0,20.0
BARROW STREET,Sunday,11,40.0,20.0,20.0
BARROW STREET,Sunday,12,40.0,21.0,19.0
BARROW STREET,Sunday,13,40.0,19.0,21.0
BARROW STREET,Sunday,14,40.0,21.0,19.0
BARROW STREET,Sunday,15,40.0,20.0,20.0
BARROW STREET,Sunday,16,40.0,25.0,15.0
BARROW STREET,Sunday,17,40.0,25.0,15.0
BARROW STREET,Sunday,18,40.0,27.0,13.0
BARROW STREET,Sunday,19,40.0,19.0,21.0
BARROW STREET,Sunday,20,40.0,18.0,22.0
BARROW STREET,Sunday,21,40.0,21.0,19.0
BARROW STREET,Sunday,22,40.0,19.0,21.0
BARROW STREET,Sunday,23,40.0,19.0,21.0
BARROW STREET,Thursday,0,40.0,7.0,33.0
BARROW STREET,Thursday,1,40.0,7.0,33.0
BARROW STREET,Thursday,2,40.0,5.0,35.0
BARROW STREET,Thursday,3,40.0,11.0,29.0
BARROW STREET,Thursday,4,40.0,8.0,32.0
BARROW STREET,Thursday,5,40.0,7.0,33.0
BARROW STREET,Thursday,6,40.0,8.0,32.0
BARROW STREET,Thursday,7,40.0,18.0,21.0
BARROW STREET,Thursday,8,40.0,31.0,8.0
BARROW STREET,Thursday,9,40.0,36.0,2.0
BARROW STREET,Thursday,10,40.0,37.0,2.0
BARROW STREET,Thursday,11,40.0,36.0,3.0
BARROW STREET,Thursday,12,40.0,33.0,6.0
BARROW STREET,Thursday,13,40.0,31.0,9.0
BARROW STREET,Thursday,14,40.0,26.0,14.0
BARROW STREET,Thursday,15,40.0,30.0,10.0
BARROW STREET,Thursday,16,40.0,28.0,12.0
BARROW STREET,Thursday,17,40.0,24.0,16.0
BARROW STREET,Thursday,18,40.0,10.0,30.0
BARROW STREET,Thursday,19,40.0,10.0,30.0
BARROW STREET,Thursday,20,40.0,8.0,32.0
BARROW STREET,Thursday,21,40.0,9.0,31.0
BARROW STREET,Thursday,22,40.0,11.0,29.0
BARROW STREET,Thursday,23,40.0,13.0,27.0
BARROW STREET,Tuesday,0,40.0,21.0,19.0
BARROW STREET,Tuesday,1,40.0,21.0,19.0
BARROW STREET,Tuesday,2,40.0,21.0,19.0
BARROW STREET,Tuesday,3,40.0,21.0,19.0
BARROW STREET,Tuesday,4,40.0,15.0,25.0
BARROW STREET,Tuesday,5,40.0,16.0,24.0
BARROW STREET,Tuesday,6,40.0,17.0,23.0
BARROW STREET,Tuesday,7,40.0,24.0,16.0
BARROW STREET,Tuesday,8,40.0,38.0,2.0
BARROW STREET,Tuesday,9,40.0,39.0,1.0
BARROW STREET,Tuesday,10,40.0,36.0,4.0
BARROW STREET,Tuesday,11,40.0,34.0,6.0
BARROW STREET,Tuesday,12,40.0,33.0,7.0
BARROW STREET,Tuesday,13,40.0,31.0,9.0
BARROW STREET,Tuesday,14,40.0,29.0,11.0
BARROW STREET,Tuesday,15,40.0,20.0,20.0
BARROW STREET,Tuesday,16,40.0,19.0,21.0
BARROW STREET,Tuesday,17,40.0,8.0,32.0
BARROW STREET,Tuesday,18,40.0,2.0,38.0
BARROW STREET,Tuesday,19,40.0,2.0,38.0
BARROW STREET,Tuesday,20,40.0,5.0,35.0
BARROW STREET,Tuesday,21,40.0,12.0,28.0
BARROW STREET,Tuesday,22,40.0,14.0,26.0
BARROW STREET,Tuesday,23,40.0,15.0,25.0
BARROW STREET,Wednesday,0,40.0,14.0,26.0
BARROW STREET,Wednesday,1,40.0,14.0,26.0
BARROW STREET,Wednesday,2,40.0,15.0,25.0
BARROW STREET,Wednesday,3,40.0,14.0,26.0
BARROW STREET,Wednesday,4,40.0,15.0,25.0
BARROW STREET,Wednesday,5,40.0,12.0,28.0
BARROW STREET,Wednesday,6,40.0,12.0,28.0
BARROW STREET,Wednesday,7,40.0,19.0,21.0
BARROW STREET,Wednesday,8,40.0,34.0,6.0
BARROW STREET,Wednesday,9,40.0,37.0,3.0
BARROW STREET,Wednesday,10,40.0,37.0,3.0
BARROW STREET,Wednesday,11,40.0,34.0,6.0
BARROW STREET,Wednesday,12,40.0,32.0,8.0
BARROW STREET,Wednesday,13,40.0,33.0,7.0
BARROW STREET,Wednesday,14,40.0,34.0,6.0
BARROW STREET,Wednesday,15,40.0,36.0,4.0
BARROW STREET,Wednesday,16,40.0,30.0,10.0
BARROW STREET,Wednesday,17,40.0,21.0,19.0
BARROW STREET,Wednesday,18,40.0,8.0,32.0
BARROW STREET,Wednesday,19,40.0,5.0,35.0
BARROW STREET,Wednesday,20,40.0,6.0,34.0
BARROW STREET,Wednesday,21,40.0,5.0,35.0
BARROW STREET,Wednesday,22,40.0,7.0,33.0
BARROW STREET,Wednesday,23,40.0,7.0,33.0
BENSON STREET,Friday,0,40.0,0.0,0.0
BENSON STREET,Friday,1,40.0,0.0,0.0
BENSON STREET,Friday,2,40.0,0.0,0.0
BENSON STREET,Friday,3,40.0,0.0,0.0
BENSON STREET,Friday,4,40.0,0.0,0.0
BENSON STREET,Friday,5,40.0,0.0,0.0
BENSON STREET,Friday,6,40.0,0.0,0.0
BENSON STREET,Friday,7,40.0,0.0,0.0
BENSON STREET,Friday,8,40.0,0.0,0.0
BENSON STREET,Friday,9,40.0,0.0,0.0
BENSON STREET,Friday,10,40.0,0.0,0.0
BENSON STREET,Friday,11,40.0,0.0,0.0
BENSON STREET,Friday,12,40.0,0.0,0.0
BENSON STREET,Friday,13,40.0,0.0,0.0
BENSON STREET,Friday,14,40.0,0.0,0.0
BENSON STREET,Friday,15,40.0,0.0,0.0
BENSON STREET,Friday,16,40.0,0.0,0.0
BENSON STREET,Friday,17,40.0,0.0,0.0
BENSON STREET,Friday,18,40.0,0.0,0.0
BENSON STREET,Friday,19,40.0,0.0,0.0
BENSON STREET,Friday,20,40.0,0.0,0.0
BENSON STREET,Friday,21,40.0,0.0,0.0
BENSON STREET,Friday,22,40.0,0.0,0.0
BENSON STREET,Friday,23,40.0,0.0,0.0
BENSON STREET,Monday,0,40.0,0.0,0.0
