name,date,hour,bike_stands_mean,available_bikes_mean,available_bike_stands_mean
BARROW STREET,01/04/2018,0,40.0,4.0,36.0
BARROW STREET,01/04/2018,1,40.0,4.0,36.0
BARROW STREET,01/04/2018,2,40.0,4.0,36.0
BARROW STREET,01/04/2018,3,40.0,4.0,36.0
BARROW STREET,01/04/2018,4,40.0,4.0,36.0
BARROW STREET,01/04/2018,5,40.0,4.461538461538462,35.53846153846154
BARROW STREET,01/04/2018,6,40.0,4.916666666666667,35.083333333333336
BARROW STREET,01/04/2018,7,40.0,5.166666666666667,34.833333333333336
BARROW STREET,01/04/2018,8,40.0,3.727272727272727,36.27272727272727
BARROW STREET,01/04/2018,9,40.0,1.7692307692307692,38.23076923076923
BARROW STREET,01/04/2018,10,40.0,0.5833333333333334,39.416666666666664
BARROW STREET,01/04/2018,11,40.0,3.25,36.75
BARROW STREET,01/04/2018,12,40.0,3.6363636363636362,36.36363636363637
BARROW STREET,01/04/2018,13,40.0,3.5833333333333335,36.416666666666664
BARROW STREET,01/04/2018,14,40.0,10.666666666666666,29.333333333333332
BARROW STREET,01/04/2018,15,40.0,11.416666666666666,28.583333333333332
BARROW STREET,01/04/2018,16,40.0,15.25,24.75
BARROW STREET,01/04/2018,17,40.0,12.153846153846153,27.846153846153847
BARROW STREET,01/04/2018,18,40.0,12.454545454545455,27.545454545454547
BARROW STREET,01/04/2018,19,40.0,12.692307692307692,27.307692307692307
BARROW STREET,01/04/2018,20,40.0,13.363636363636363,26.636363636363637
BARROW STREET,01/04/2018,21,40.0,14.916666666666666,25.083333333333332
BARROW STREET,01/04/2018,22,40.0,13.846153846153847,26.153846153846153
BARROW STREET,01/04/2018,23,40.0,15.363636363636363,24.636363636363637
BARROW STREET,02/04/2018,0,40.0,16.0,24.0
BARROW STREET,02/04/2018,1,40.0,16.0,24.0
BARROW STREET,02/04/2018,2,40.0,16.0,24.0
BARROW STREET,02/04/2018,3,40.0,16.0,24.0
BARROW STREET,02/04/2018,4,40.0,16.0,24.0
BARROW STREET,02/04/2018,5,40.0,16.166666666666668,23.833333333333332
BARROW STREET,02/04/2018,6,40.0,16.153846153846153,23.846153846153847
BARROW STREET,02/04/2018,7,40.0,17.454545454545453,22.545454545454547
BARROW STREET,02/04/2018,8,40.0,20.307692307692307,19.692307692307693
BARROW STREET,02/04/2018,9,40.0,21.0,19.0
BARROW STREET,02/04/2018,10,40.0,17.916666666666668,22.083333333333332
BARROW STREET,02/04/2018,11,40.0,16.833333333333332,23.166666666666668
BARROW STREET,02/04/2018,12,40.0,16.46153846153846,23.53846153846154
BARROW STREET,02/04/2018,13,40.0,17.454545454545453,22.545454545454547
BARROW STREET,02/04/2018,14,40.0,18.5,21.5
BARROW STREET,02/04/2018,15,40.0,15.333333333333334,24.666666666666668
BARROW STREET,02/04/2018,16,40.0,12.75,27.25
BARROW STREET,02/04/2018,17,40.0,11.25,28.75
BARROW STREET,02/04/2018,18,40.0,9.166666666666666,30.833333333333332
BARROW STREET,02/04/2018,19,40.0,9.583333333333334,30.416666666666668
BARROW STREET,02/04/2018,20,40.0,9.75,30.25
BARROW STREET,02/04/2018,21,40.0,10.666666666666666,29.333333333333332
BARROW STREET,02/04/2018,22,40.0,10.0,30.0
BARROW STREET,02/04/2018,23,40.0,10.5,29.5
BARROW STREET,03/04/2018,0,40.0,10.0,30.0
BARROW STREET,03/04/2018,1,40.0,10.0,30.0
BARROW STREET,03/04/2018,2,40.0,10.0,30.0
BARROW STREET,03/04/2018,3,40.0,10.0,30.0
BARROW STREET,03/04/2018,4,40.0,10.0,30.0
BARROW STREET,03/04/2018,5,40.0,14.692307692307692,25.307692307692307
BARROW STREET,03/04/2018,6,40.0,12.272727272727273,27.727272727272727
BARROW STREET,03/04/2018,7,40.0,20.5,19.5
BARROW STREET,03/04/2018,8,40.0,39.0,1.0
BARROW STREET,03/04/2018,9,40.0,38.75,1.25
BARROW STREET,03/04/2018,10,40.0,33.666666666666664,6.333333333333333
BARROW STREET,03/04/2018,11,40.0,32.333333333333336,7.666666666666667
BARROW STREET,03/04/2018,12,40.0,31.90909090909091,8.090909090909092
BARROW STREET,03/04/2018,13,40.0,30.0,10.0
BARROW STREET,03/04/2018,14,40.0,24.636363636363637,15.363636363636363
BARROW STREET,03/04/2018,15,40.0,22.083333333333332,17.916666666666668
BARROW STREET,03/04/2018,16,40.0,21.333333333333332,18.666666666666668
BARROW STREET,03/04/2018,17,40.0,8.416666666666666,31.583333333333332
BARROW STREET,03/04/2018,18,40.0,1.75,38.25
BARROW STREET,03/04/2018,19,40.0,2.8333333333333335,37.166666666666664
BARROW STREET,03/04/2018,20,40.0,6.333333333333333,33.666666666666664
BARROW STREET,03/04/2018,21,40.0,9.928571428571429,30.071428571428573
BARROW STREET,03/04/2018,22,40.0,11.2,28.8
BARROW STREET,03/04/2018,23,40.0,12.0,28.0
BARROW STREET,04/04/2018,0,40.0,12.0,28.0
BARROW STREET,04/04/2018,1,40.0,12.0,28.0
BARROW STREET,04/04/2018,2,40.0,12.0,28.0
BARROW STREET,04/04/2018,3,40.0,12.0,28.0
BARROW STREET,04/04/2018,4,40.0,12.0,28.0
BARROW STREET,04/04/2018,5,40.0,5.166666666666667,34.833333333333336
BARROW STREET,04/04/2018,6,40.0,7.0,33.0
BARROW STREET,04/04/2018,7,40.0,16.583333333333332,22.5
BARROW STREET,04/04/2018,8,40.0,29.25,9.75
BARROW STREET,04/04/2018,9,40.0,36.53846153846154,2.4615384615384617
BARROW STREET,04/04/2018,10,40.0,38.45454545454545,0.5454545454545454
BARROW STREET,04/04/2018,11,40.0,36.166666666666664,2.8333333333333335
BARROW STREET,04/04/2018,12,40.0,33.666666666666664,5.333333333333333
BARROW STREET,04/04/2018,13,40.0,31.153846153846153,8.846153846153847
BARROW STREET,04/04/2018,14,40.0,30.166666666666668,9.833333333333334
BARROW STREET,04/04/2018,15,40.0,31.90909090909091,8.090909090909092
BARROW STREET,04/04/2018,16,40.0,24.5,15.5
BARROW STREET,04/04/2018,17,40.0,15.416666666666666,24.583333333333332
BARROW STREET,04/04/2018,18,40.0,3.1666666666666665,36.833333333333336
BARROW STREET,04/04/2018,19,40.0,2.3846153846153846,37.61538461538461
BARROW STREET,04/04/2018,20,40.0,0.45454545454545453,39.54545454545455
BARROW STREET,04/04/2018,21,40.0,3.4615384615384617,36.53846153846154
BARROW STREET,04/04/2018,22,40.0,4.0,36.0
BARROW STREET,04/04/2018,23,40.0,3.5,36.5
BARROW STREET,05/04/2018,0,40.0,3.0,37.0
BARROW STREET,05/04/2018,1,40.0,3.0,37.0
BARROW STREET,05/04/2018,2,40.0,3.0,37.0
BARROW STREET,05/04/2018,4,40.0,3.0,37.0
BARROW STREET,05/04/2018,5,40.0,4.545454545454546,35.45454545454545
BARROW STREET,05/04/2018,6,40.0,4.583333333333333,35.416666666666664
BARROW STREET,05/04/2018,7,40.0,17.5,22.25
BARROW STREET,05/04/2018,8,40.0,26.416666666666668,12.583333333333334
BARROW STREET,05/04/2018,9,40.0,36.23076923076923,2.1538461538461537
BARROW STREET,05/04/2018,10,40.0,37.27272727272727,0.7272727272727273
BARROW STREET,05/04/2018,11,40.0,35.333333333333336,2.6666666666666665
BARROW STREET,05/04/2018,12,40.0,30.25,7.75
BARROW STREET,05/04/2018,13,40.0,30.166666666666668,7.833333333333333
BARROW STREET,05/04/2018,14,40.0,27.166666666666668,11.5
BARROW STREET,05/04/2018,15,40.0,37.583333333333336,2.4166666666666665
BARROW STREET,05/04/2018,16,40.0,36.75,3.25
BARROW STREET,05/04/2018,17,40.0,31.25,8.75
BARROW STREET,05/04/2018,18,40.0,13.0,27.0
BARROW STREET,05/04/2018,19,40.0,12.538461538461538,27.46153846153846
BARROW STREET,05/04/2018,20,40.0,10.272727272727273,29.727272727272727
BARROW STREET,05/04/2018,21,40.0,11.416666666666666,28.583333333333332
BARROW STREET,05/04/2018,22,40.0,14.416666666666666,25.583333333333332
BARROW STREET,05/04/2018,23,40.0,15.923076923076923,24.076923076923077
BARROW STREET,06/04/2018,0,40.0,16.545454545454547,23.454545454545453
BARROW STREET,06/04/2018,1,40.0,17.0,23.0
BARROW STREET,06/04/2018,2,40.0,17.0,23.0
BARROW STREET,06/04/2018,3,40.0,17.0,23.0
BARROW STREET,06/04/2018,4,40.0,19.25,20.75
BARROW STREET,06/04/2018,5,40.0,8.0,32.0
BARROW STREET,06/04/2018,6,40.0,14.666666666666666,25.333333333333332
BARROW STREET,06/04/2018,7,40.0,31.25,7.833333333333333
BARROW STREET,06/04/2018,8,40.0,27.416666666666668,11.583333333333334
BARROW STREET,06/04/2018,9,40.0,30.307692307692307,8.692307692307692
